Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
509675,HIL,HIL LTD.,21 Jul 2020,Final Dividend - Rs. - 10.0000,-,23 Jul 2020,29 Jul 2020,-,-,-
532156,VAIBHAVGBL,Vaibhav Global Ltd,21 Jul 2020,Final Dividend - Rs. - 7.0000,-,23 Jul 2020,23 Jul 2020,-,-,-
500042,BASF,BASF INDIA LTD.,22 Jul 2020,Dividend - Rs. - 3.0000,-,24 Jul 2020,30 Jul 2020,-,-,-
540743,GODREJAGRO,Godrej Agrovet Ltd,22 Jul 2020,Final Dividend - Rs. - 5.5000,-,24 Jul 2020,30 Jul 2020,-,-,-
521016,ICIL,INDO COUNT INDUSTRIES LTD.,22 Jul 2020,Final Dividend - Rs. - 0.6000,23 Jul 2020,-,-,-,-,-
523301,TCPLPACK,TCPL PACKAGING LTD.-$,22 Jul 2020,Dividend - Rs. - 4.0000,-,24 Jul 2020,30 Jul 2020,-,-,-
590073,WHEELS,WHEELS INDIA LTD.,22 Jul 2020,Final Dividend - Rs. - 2.6500,-,24 Jul 2020,30 Jul 2020,-,-,-
530499,AKCAPIT,A.K.CAPITAL SERVICES LTD.,23 Jul 2020,Final Dividend - Rs. - 1.0000,24 Jul 2020,-,-,-,-,-
500820,ASIANPAINT,ASIAN PAINTS LTD.,23 Jul 2020,Final Dividend - Rs. - 1.5000,-,25 Jul 2020,05 Aug 2020,-,-,-
531595,CGCL,Capri Global Capital Limited,23 Jul 2020,Dividend - Rs. - 0.2000,-,25 Jul 2020,31 Jul 2020,-,-,-
532281,HCLTECH,HCL TECHNOLOGIES LTD.,23 Jul 2020,Interim Dividend,25 Jul 2020,-,-,-,-,-
540768,MAHLOG,Mahindra Logistics Ltd,23 Jul 2020,Final Dividend - Rs. - 1.5000,-,25 Jul 2020,30 Jul 2020,-,-,-
535754,ORIENTCEM,Orient Cement Ltd,23 Jul 2020,Final Dividend - Rs. - 0.7500,-,25 Jul 2020,31 Jul 2020,-,-,-
532784,SOBHA,Sobha Limited,23 Jul 2020,Dividend - Rs. - 7.0000,-,25 Jul 2020,25 Jul 2020,-,-,-
512527,SUPER,SUPER SALES INDIA LTD.-$,23 Jul 2020,Final Dividend - Rs. - 2.5000,-,25 Jul 2020,30 Jul 2020,-,-,-
532755,TECHM,TECH MAHINDRA LTD.,23 Jul 2020,Final Dividend - Rs. - 5.0000,-,25 Jul 2020,28 Jul 2020,-,-,-
522113,TIMKEN,TIMKEN INDIA LTD.,23 Jul 2020,Final Dividend - Rs. - 50.0000,-,25 Jul 2020,20 Aug 2020,-,-,-
532742,PAUSHAKLTD,PAUSHAK LTD.,24 Jul 2020,Final Dividend - Rs. - 6.0000,-,28 Jul 2020,04 Aug 2020,-,-,-
500251,TRENT,TRENT LTD.,24 Jul 2020,Dividend - Rs. - 1.0000,-,28 Jul 2020,30 Jul 2020,-,-,-
506285,BAYERCROP,BAYER CROPSCIENCE LTD.,27 Jul 2020,Final Dividend - Rs. - 25.0000,-,29 Jul 2020,07 Aug 2020,-,-,-
523754,MAHEPC,Mahindra EPC Irrigation Ltd,28 Jul 2020,Dividend - Rs. - 1.2000,-,30 Jul 2020,03 Aug 2020,-,-,-
532987,RBL,RANE BRAKE LINING LTD.,28 Jul 2020,Final Dividend - Rs. - 11.0000,29 Jul 2020,-,-,-,-,-
502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,28 Jul 2020,Dividend - Rs. - 3.5000,-,30 Jul 2020,08 Aug 2020,-,-,-
502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,28 Jul 2020,Special Dividend - Rs. - 0.5000,-,30 Jul 2020,08 Aug 2020,-,-,-
541540,SOLARA,Solara Active Pharma Sciences Ltd,28 Jul 2020,Dividend - Rs. - 2.0000,-,30 Jul 2020,04 Aug 2020,-,-,-
506235,ALEMBICLTD,ALEMBIC LTD.,29 Jul 2020,Final Dividend - Rs. - 0.6000,-,31 Jul 2020,07 Aug 2020,-,-,-
500043,BATAINDIA,BATA INDIA LTD.,29 Jul 2020,Dividend - Rs. - 4.0000,-,31 Jul 2020,06 Aug 2020,-,-,-
507488,GMBREW,G.M.BREWERIES LTD.,29 Jul 2020,Final Dividend - Rs. - 3.0000,-,31 Jul 2020,06 Aug 2020,-,-,-
533248,GPPL,GUJARAT PIPAVAV PORT LTD.,29 Jul 2020,Final Dividend - Rs. - 3.5000,-,31 Jul 2020,06 Aug 2020,-,-,-
523160,MORGANITE,MORGANITE CRUCIBLE (INDIA) LTD.,29 Jul 2020,Final Dividend - Rs. - 16.0000,-,31 Jul 2020,06 Aug 2020,-,-,-
500672,NOVARTIND,NOVARTIS INDIA LTD.,29 Jul 2020,Final Dividend - Rs. - 10.0000,-,31 Jul 2020,07 Aug 2020,-,-,-
530999,BALAMINES,BALAJI AMINES LTD.-$,30 Jul 2020,Final Dividend - Rs. - 0.6000,-,01 Aug 2020,08 Aug 2020,-,-,-
500135,ESSELPRO,ESSEL PROPACK LTD.,30 Jul 2020,Final Dividend - Rs. - 2.0500,31 Jul 2020,-,-,-,-,-
500182,HEROMOTOCO,HERO MOTOCORP LTD.,30 Jul 2020,Final Dividend - Rs. - 25.0000,-,03 Aug 2020,12 Aug 2020,-,-,-
500696,HINDUNILVR,HINDUSTAN UNILEVER LTD.,30 Jul 2020,Special Dividend,31 Jul 2020,-,-,-,-,-
507794,KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LTD.,30 Jul 2020,Dividend - Rs. - 0.2000,-,01 Aug 2020,07 Aug 2020,-,-,-
532937,KUANTUM,KUANTUM PAPERS LTD.,30 Jul 2020,Dividend - Rs. - 2.5000,-,01 Aug 2020,07 Aug 2020,-,-,-
540704,MATRIMONY,Matrimony.com Ltd,30 Jul 2020,Final Dividend - Rs. - 1.5000,31 Jul 2020,-,-,-,-,-
541301,ORIENTELEC,Orient Electric Ltd,30 Jul 2020,Final Dividend - Rs. - 0.5000,-,01 Aug 2020,07 Aug 2020,-,-,-
500238,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,30 Jul 2020,Final Dividend - Rs. - 5.0000,-,01 Aug 2020,07 Aug 2020,-,-,-
500530,BOSCHLTD,BOSCH LTD.,03 Aug 2020,Final Dividend - Rs. - 105.0000,-,05 Aug 2020,27 Aug 2020,-,-,-
500068,DISAQ,DISA INDIA LTD.,03 Aug 2020,Final Dividend - Rs. - 2.5000,-,05 Aug 2020,12 Aug 2020,-,-,-
504084,KAYCEEI,KAYCEE INDUSTRIES LTD.,03 Aug 2020,Final Dividend - Rs. - 30.0000,04 Aug 2020,-,-,-,-,-
500114,TITAN,Titan Company Limited,03 Aug 2020,Dividend - Rs. - 4.0000,-,05 Aug 2020,11 Aug 2020,-,-,-
522263,JMCPROJECT,JMC PROJECTS (INDIA) LTD.-$,04 Aug 2020,Final Dividend - Rs. - 0.7000,-,06 Aug 2020,11 Aug 2020,-,-,-
533148,JSWENERGY,JSW Energy Ltd,04 Aug 2020,Final Dividend - Rs. - 1.0000,-,06 Aug 2020,13 Aug 2020,-,-,-
539354,POLYSPIN,Polyspin Exports Ltd,04 Aug 2020,Final Dividend - Rs. - 0.6000,05 Aug 2020,-,-,-,-,-
500168,GOODYEAR,GOODYEAR INDIA LTD.,05 Aug 2020,Final Dividend - Rs. - 13.0000,-,07 Aug 2020,13 Aug 2020,-,-,-
532482,GRANULES,GRANULES INDIA LTD.-$,05 Aug 2020,Final Dividend - Rs. - 0.2500,-,07 Aug 2020,13 Aug 2020,-,-,-
500575,VOLTAS,VOLTAS LTD.,05 Aug 2020,Dividend - Rs. - 4.0000,-,07 Aug 2020,21 Aug 2020,-,-,-
504258,LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,06 Aug 2020,Dividend - Rs. - 0.5000,-,08 Aug 2020,14 Aug 2020,-,-,-
524774,NGLFINE,NGL FINE-CHEM LTD.,06 Aug 2020,Final Dividend - Rs. - 1.7500,07 Aug 2020,-,-,-,-,-
505800,RANEHOLDIN,RANE HOLDINGS LTD.,06 Aug 2020,Final Dividend - Rs. - 4.0000,07 Aug 2020,-,-,-,-,-
524542,SUKHJITS,SUKHJIT STARCH & CHEMICALS LTD.-$,06 Aug 2020,Dividend - Rs. - 2.0000,-,08 Aug 2020,13 Aug 2020,-,-,-
500470,TATASTEEL,TATA STEEL LTD.,06 Aug 2020,Final Dividend - Rs. - 10.0000,-,08 Aug 2020,20 Aug 2020,-,-,-
516072,VISHNU,VISHNU CHEMICALS LTD.,06 Aug 2020,Dividend - Rs. - 1.0000,-,08 Aug 2020,14 Aug 2020,-,-,-
516030,YASHPAKKA,Yash Pakka Ltd-$,06 Aug 2020,Final Dividend - Rs. - 1.0000,07 Aug 2020,-,-,-,-,-
532504,NAVINFLUOR,Navin Fluorine International Limited-$,07 Aug 2020,Final Dividend - Rs. - 3.0000,-,11 Aug 2020,14 Aug 2020,-,-,-
539523,ALKEM,Alkem Laboratories Ltd,10 Aug 2020,Final Dividend - Rs. - 3.0000,11 Aug 2020,-,-,-,-,-
506390,CLNINDIA,CLARIANT CHEMICALS (INDIA) LTD.,10 Aug 2020,Final Dividend - Rs. - 11.0000,-,12 Aug 2020,13 Aug 2020,-,-,-
518091,APCL,ANJANI PORTLAND CEMENT LTD.-$,13 Aug 2020,Dividend - Rs. - 5.0000,-,15 Aug 2020,21 Aug 2020,-,-,-
533761,GPTINFRA,GPT INFRAPROJECTS LTD.,13 Aug 2020,Final Dividend - Rs. - 1.5000,-,15 Aug 2020,21 Aug 2020,-,-,-
532500,MARUTI,MARUTI SUZUKI INDIA LTD.,13 Aug 2020,Final Dividend - Rs. - 60.0000,-,15 Aug 2020,26 Aug 2020,-,-,-
500480,CUMMINSIND,CUMMINS INDIA LTD.,17 Aug 2020,Final Dividend - Rs. - 7.0000,18 Aug 2020,-,-,-,-,-
511196,CANFINHOME,CAN FIN HOMES LTD.,18 Aug 2020,Dividend - Rs. - 2.0000,-,20 Aug 2020,26 Aug 2020,-,-,-
523411,ADCINDIA,ADC India Communications Limited-$,19 Aug 2020,Dividend - Rs. - 2.0000,-,21 Aug 2020,27 Aug 2020,-,-,-
508906,EVERESTIND,EVEREST INDUSTRIES LTD.,19 Aug 2020,Final Dividend - Rs. - 1.0000,20 Aug 2020,-,-,-,-,-
505255,GMM,GMM PFAUDLER LTD.,19 Aug 2020,Final Dividend - Rs. - 2.0000,-,21 Aug 2020,27 Aug 2020,-,-,-
519552,HERITGFOOD,Heritage Foods Limited,19 Aug 2020,Dividend - Rs. - 2.5000,-,21 Aug 2020,28 Aug 2020,-,-,-
532796,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD.,19 Aug 2020,Final Dividend - Rs. - 1.0000,-,21 Aug 2020,28 Aug 2020,-,-,-
517206,LUMAXIND,LUMAX INDUSTRIES LTD.,20 Aug 2020,Final Dividend - Rs. - 6.0000,-,22 Aug 2020,28 Aug 2020,-,-,-
526479,SKYIND,SKY INDUSTRIES LTD.-$,20 Aug 2020,Final Dividend - Rs. - 0.5000,-,22 Aug 2020,28 Aug 2020,-,-,-
506105,STANROS,STANROSE MAFATLAL INVESTMENTS AND FINANCE LTD.,20 Aug 2020,Dividend - Rs. - 6.0000,-,23 Aug 2020,29 Aug 2020,-,-,-
506690,UNICHEMLAB,UNICHEM LABORATORIES LTD.,20 Aug 2020,Dividend - Rs. - 4.0000,-,24 Aug 2020,29 Aug 2020,-,-,-
504741,INDIANHUME,INDIAN HUME PIPE CO.LTD.,21 Aug 2020,Dividend - Rs. - 2.0000,-,25 Aug 2020,04 Sep 2020,-,-,-
590005,TIDEWATER,TIDE WATER OIL (INDIA) LTD.,21 Aug 2020,Final Dividend - Rs. - 140.0000,-,25 Aug 2020,31 Aug 2020,-,-,-
542905,SHIL,Somany Home Innovation Ltd,24 Aug 2020,Dividend - Rs. - 0.1500,-,26 Aug 2020,03 Sep 2020,-,-,-
520043,MUNJALSHOW,MUNJAL SHOWA LTD.,27 Aug 2020,Final Dividend - Rs. - 4.5000,-,29 Aug 2020,10 Sep 2020,-,-,-
500488,ABBOTINDIA,ABBOTT INDIA LTD.,28 Aug 2020,Final Dividend - Rs. - 107.0000,-,01 Sep 2020,07 Sep 2020,-,-,-
500488,ABBOTINDIA,ABBOTT INDIA LTD.,28 Aug 2020,Special Dividend - Rs. - 143.0000,-,01 Sep 2020,07 Sep 2020,-,-,-
505750,JOSTS,JOST'S ENGINEERING CO.LTD.,28 Aug 2020,Final Dividend - Rs. - 3.0000,-,01 Sep 2020,04 Sep 2020,-,-,-
516108,STHINPA,SOUTH INDIA PAPER MILLS LTD.,28 Aug 2020,Final Dividend - Rs. - 1.5000,-,01 Sep 2020,26 Sep 2020,-,-,-
500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,31 Aug 2020,Final Dividend - Rs. - 0.3000,-,02 Sep 2020,08 Sep 2020,-,-,-
540393,SMLT,Sarthak Metals Ltd,31 Aug 2020,Final Dividend - Rs. - 0.5000,-,02 Sep 2020,09 Sep 2020,-,-,-
532051,SWELECTES,Swelect Energy Systems Limited-$,01 Sep 2020,Final Dividend - Rs. - 0.7500,-,03 Sep 2020,10 Sep 2020,-,-,-
523606,SIKA,SIKA INTERPLANT SYSTEMS LTD.,03 Sep 2020,Final Dividend - Rs. - 1.1000,-,05 Sep 2020,25 Sep 2020,-,-,-
500336,SURYAROSNI,SURYA ROSHNI LTD.,03 Sep 2020,Dividend - Rs. - 2.0000,04 Sep 2020,-,-,-,-,-
504036,HIRECT,HIND RECTIFIERS LTD.,07 Sep 2020,Final Dividend - Rs. - 0.8000,-,09 Sep 2020,15 Sep 2020,-,-,-
517168,SUBROS,SUBROS LTD.,07 Sep 2020,Final Dividend - Rs. - 0.8000,-,09 Sep 2020,15 Sep 2020,-,-,-
532503,RAJPALAYAM,RAJAPALAYAM MILLS LTD.-$,08 Sep 2020,Dividend - Rs. - 1.0000,09 Sep 2020,-,-,-,-,-
500187,HSIL,HSIL LTD.,09 Sep 2020,Dividend - Rs. - 3.0000,-,11 Sep 2020,19 Sep 2020,-,-,-
531426,TNPL,TAMIL NADU NEWSPRINT & PAPERS LTD.,09 Sep 2020,Final Dividend - Rs. - 6.0000,-,11 Sep 2020,18 Sep 2020,-,-,-
522215,HLEGLAS,HLE Glascoat Ltd,10 Sep 2020,Dividend - Rs. - 2.5000,-,13 Sep 2020,16 Sep 2020,-,-,-
523229,BHARATSE,BHARAT SEATS LTD.-$,11 Sep 2020,Dividend - Rs. - 0.5000,-,15 Sep 2020,21 Sep 2020,-,-,-
532768,FIEMIND,FIEM INDUSTRIES LTD.,11 Sep 2020,Final Dividend - Rs. - 3.0000,-,15 Sep 2020,21 Sep 2020,-,-,-
503349,VICTMILL,VICTORIA MILLS LTD.,11 Sep 2020,Final Dividend - Rs. - 50.0000,-,15 Sep 2020,29 Sep 2020,-,-,-
500405,SUPPETRO*,SUPREME PETROCHEM LTD.,14 Sep 2020,Final Dividend - Rs. - 1.5000,-,16 Sep 2020,18 Sep 2020,-,-,-
509496,ITDCEM,ITD CEMENTATION INDIA LTD.,15 Sep 2020,Dividend - Rs. - 0.3000,-,17 Sep 2020,23 Sep 2020,-,-,-
533168,ROSSELLIND,ROSSELL INDIA LTD.,15 Sep 2020,Final Dividend - Rs. - 0.2000,-,17 Sep 2020,23 Sep 2020,-,-,-
505160,TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LTD.,15 Sep 2020,Dividend - Rs. - 0.5000,-,17 Sep 2020,25 Sep 2020,-,-,-
523736,DVL,Dhunseri Ventures Ltd-$,16 Sep 2020,Dividend - Rs. - 0.5000,-,18 Sep 2020,24 Sep 2020,-,-,-
506618,PUNJABCHEM,PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$,16 Sep 2020,Final Dividend - Rs. - 1.5000,-,18 Sep 2020,25 Sep 2020,-,-,-
508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,17 Sep 2020,Final Dividend - Rs. - 2.7500,-,19 Sep 2020,25 Sep 2020,-,-,-
500052,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,17 Sep 2020,Final Dividend - Rs. - 0.5000,-,19 Sep 2020,26 Sep 2020,-,-,-
509480,BERGEPAINT,BERGER PAINTS INDIA LTD.,17 Sep 2020,Final Dividend - Rs. - 0.3000,-,19 Sep 2020,25 Sep 2020,-,-,-
526729,GOLDIAM,GOLDIAM INTERNATIONAL LTD.,17 Sep 2020,Final Dividend - Rs. - 1.5000,-,21 Sep 2020,25 Sep 2020,-,-,-
540954,IWP,The Indian Wood Products Company Ltd,17 Sep 2020,Dividend - Rs. - 0.1000,-,19 Sep 2020,25 Sep 2020,-,-,-
500378,JINDALSAW,JINDAL SAW LTD.,17 Sep 2020,Dividend - Rs. - 2.0000,-,19 Sep 2020,25 Sep 2020,-,-,-
532741,KAMDHENU,Kamdhenu Ltd,18 Sep 2020,Dividend - Rs. - 0.5000,-,22 Sep 2020,28 Sep 2020,-,-,-
506530,KEMP,KEMP & COMPANY LTD.,21 Sep 2020,Dividend - Rs. - 0.5000,-,23 Sep 2020,29 Sep 2020,-,-,-
526409,KKALPANAIND,Kkalpana Industries (India) Ltd,21 Sep 2020,Final Dividend - Rs. - 0.1200,-,23 Sep 2020,29 Sep 2020,-,-,-
538964,MERCURYLAB,Mercury Laboratories Ltd,21 Sep 2020,Final Dividend - Rs. - 2.0000,-,23 Sep 2020,29 Sep 2020,-,-,-
